Name,op_phase_manual,WKT_geom
Pedro Miguel Mooring Station,Berth,"POLYGON ((-79.6219809757064 9.02544949236357, -79.6223101611497 9.02509555059025, -79.6218756641421 9.0248626511433, -79.620542782242 9.0241396043543, -79.620334847127 9.0246527674619, -79.6215733253437 9.02524483861231, -79.6219809757064 9.02544949236357))"
Gamboa Mooring station,Berth,"POLYGON ((-79.7130180562392 9.11868116652521, -79.7144913125431 9.11878598206558, -79.7139460474267 9.11786160685102, -79.7120696144006 9.1169517947915, -79.7109933650094 9.11684324737275, -79.7103180706557 9.11669249224602, -79.7098762543876 9.1165855391082, -79.709398564202 9.11649486848204, -79.7093152180483 9.11671434263083, -79.7090880143552 9.11729077198181, -79.7089384218306 9.1177679707773, -79.7091147620402 9.11824497645429, -79.7092890877481 9.11849728665934, -79.7099888199941 9.11843998159907, -79.7130180562392 9.11868116652521))"
MIT,Berth,"POLYGON ((-79.8881301499394 9.36905056271747, -79.8886482105936 9.36875308344003, -79.88739812177592 9.361840504474944, -79.88495598431315 9.356212649991285, -79.88417173646343 9.354036816985483, -79.8815450631329 9.3551201941644, -79.8831728005038 9.36722028113971, -79.8852409015244 9.37046750748655, -79.8881301499394 9.36905056271747))"
CCT,Berth,"POLYGON ((-79.88732811188882 9.379333555496236, -79.89065303748329 9.377746966435904, -79.89148936070823 9.379411792074976, -79.89148890854388 9.379372712699322, -79.893858788586 9.378208457297236, -79.8890516540778 9.36964310766773, -79.8881184923385 9.37004861339949, -79.8843982352526 9.37195118190831, -79.8832233618177 9.37271590783872, -79.88732811188882 9.379333555496236))"
Gatun Locks Original,Manoeuvring,"POLYGON ((-79.9209980596198 9.27717761824019, -79.9205036469453 9.28002140864294, -79.9201046765763 9.28236535128214, -79.9229042006682 9.28293524069846, -79.9249444909387 9.26505425796707, -79.9233227056192 9.26473897653769, -79.9209980596198 9.27717761824019))"
Gatun Locks Expanded,Manoeuvring,"POLYGON ((-79.9122323188086 9.2634535724062, -79.9099185947328 9.26282938008458, -79.9125225823103 9.2826614346792, -79.9146181770527 9.28241947218582, -79.9141400902492 9.27369807032079, -79.9122323188086 9.2634535724062))"
Pedro Miguel Locks Original,Manoeuvring,"POLYGON ((-79.6094621467165 9.01214592816306, -79.6059154778174 9.01255297071112, -79.614680793873 9.01985144835824, -79.6155231343777 9.02095491622483, -79.6187100574188 9.02316256105435, -79.6214370805682 9.0245860066118, -79.6188930317949 9.02032541523215, -79.6128909955681 9.01535178680871, -79.6094621467165 9.01214592816306))"
Miraflores Locks Original,Manoeuvring,"POLYGON ((-79.5836105324963 8.98968435334506, -79.5838386035695 8.99061684369985, -79.5988999122786 9.00563154043921, -79.5976358516695 9.00009916335093, -79.5877978699184 8.99066913458534, -79.5836105324963 8.98968435334506))"
Cocoli Locks,Manoeuvring,"POLYGON ((-79.5841125742843 8.97769133991513, -79.595102141951 8.99130725764277, -79.6016248311446 8.99626642725081, -79.598176706432 8.98926813857639, -79.5822498498817 8.97129699852769, -79.5811853277905 8.97191858958712, -79.5841125742843 8.97769133991513))"
LNG terminal,Berth,"POLYGON ((-79.9056686449083 9.34168728122487, -79.9051370290259 9.34304391029405, -79.909883799006 9.34557668881185, -79.9102355959459 9.34406152447961, -79.9147713955852 9.33920622066336, -79.9110078902006 9.33537455538004, -79.9056686449083 9.34168728122487))"
Telfer,Berth,"POLYGON ((-79.9077291979658 9.34789525953119, -79.9095365992692 9.34539440278922, -79.9051544181549 9.34307482568757, -79.9039381066256 9.34579102345016, -79.9065020246806 9.34851259629994, -79.9077291979658 9.34789525953119))"
Pacific Anchorage,Anchorage,"POLYGON ((-79.5482154417835 8.90749911650172, -79.56649755427392 8.900396198978743, -79.57627757342908 8.886549630593697, -79.6165028961671 8.87740724753362, -79.66119339419657 8.858130176034443, -79.66203161976803 8.836846621042795, -79.6083742549585 8.766841632657046, -79.61015277749883 8.810195495963514, -79.6125274710637 8.812064106844293, -79.61106678424748 8.816404664828914, -79.60756491758058 8.81899885575109, -79.60413178831433 8.817934911697725, -79.604396898479 8.811794174031261, -79.61012617132812 8.808333083591673, -79.60816903136816 8.766390945186156, -79.64637112852338 8.688948903362741, -79.60996036300266 8.688435779381686, -79.58103545495591 8.731135520275277, -79.5820077071058 8.741245384616072, -79.58057603384951 8.746328892391567, -79.57544078113867 8.746326812556275, -79.5709579509603 8.738710447490988, -79.57339398618787 8.731135240784909, -79.58052639443692 8.731135498084324, -79.6100230199405 8.688428703361676, -79.54072420081181 8.687686990625059, -79.55279878353652 8.768364289611938, -79.57271397850005 8.784473790334719, -79.57247865856996 8.802334969570538, -79.56340397751629 8.80868597403589, -79.55344140947119 8.80867997961887, -79.54919064372878 8.80179398443009, -79.54915838846182 8.79783698981484, -79.54547620450869 8.794151652106095, -79.53945697407707 8.790212116637417, -79.5342392044981 8.787852754146561, -79.53032226870296 8.781062949383458, -79.53005365308367 8.775862311985385, -79.53004169613669 8.768870351178457, -79.53313428520613 8.764744430014277, -79.53648415012037 8.76268632427059, -79.55279878353652 8.768364289611938, -79.54072287771007 8.687442413568544, -79.50224356226535 8.688308507100308, -79.5044709604632 8.801246174217262, -79.52170246946399 8.79583612120806, -79.5261486291514 8.80022310792771, -79.5266296342893 8.80691827814605, -79.51670814456187 8.819348400121708, -79.50489771750088 8.816240050903955, -79.50473246895056 8.801246236987176, -79.50224144709084 8.68890694710717, -79.26570823608921 8.688684867499294, -79.4146680184407 8.9342361491995, -79.4847936627963 8.95189979724477, -79.51827479238 8.95477309989664, -79.53110443583702 8.93918417126301, -79.54146493340052 8.931283468362844, -79.53747175500627 8.924983587981782, -79.53252232111085 8.919869249048487, -79.52822409876232 8.919362494493763, -79.5225353610229 8.918849613578757, -79.51867904125143 8.921905129170801, -79.51512796418656 8.921011461501326, -79.514087483961 8.918848505477069, -79.51765979952482 8.905869962996105, -79.5210451153841 8.90666777045294, -79.5253816175867 8.895426697467, -79.5279027775436 8.89375758081294, -79.5332558526071 8.89374651641426, -79.5406101933075 8.89928570444844, -79.5482154417835 8.90749911650172))"
Pacific Access,Manoeuvring,"POLYGON ((-79.5210887892798 8.90664282314724, -79.5335018541823 8.9170048237037, -79.5482653828776 8.93435216639439, -79.5564040395754 8.93977296932024, -79.5591810269421 8.94191130353873, -79.5615643084994 8.9431078340193, -79.5668537264022 8.94776493254311, -79.5679048459837 8.95308102343638, -79.566220987333 8.95667034622563, -79.5691147611576 8.961214991344, -79.5702662561353 8.96247723256903, -79.5714651660312 8.96371416532176, -79.5729908994831 8.96885985231245, -79.5745555770134 8.97061269345488, -79.5761112851396 8.97172623195397, -79.576255263352 8.97316499407468, -79.5775016993277 8.97914206220892, -79.5791890256127 8.98218727800104, -79.5803570983832 8.98702609478999, -79.5815723264411 8.98930712481604, -79.5878198050287 8.99062971032208, -79.5919618704669 8.98749695739421, -79.5840797354025 8.97773472560648, -79.5811598722464 8.97194682280953, -79.582231540863 8.97130089439622, -79.5796544298887 8.96787459960372, -79.5770036910318 8.9641821322448, -79.5769367208475 8.96118308023904, -79.5754286823434 8.96200226145899, -79.573711014953 8.95892590272613, -79.572322286619 8.95580835454807, -79.5716589380964 8.9527670505483, -79.5712364546201 8.95101776677966, -79.5720644977644 8.94808720433806, -79.568892776569 8.94299203764075, -79.5659530536591 8.94034125789151, -79.5660640417116 8.93822982147649, -79.5658322751762 8.9350175843081, -79.5643235647379 8.92714320186152, -79.558993946262 8.9232934198742, -79.5612498681017 8.92087322434625, -79.561656145434 8.91546370932903, -79.5666469310367 8.90058840398971, -79.5482639147971 8.9074390708338, -79.5405937986205 8.89929773656806, -79.5332432650687 8.89375565953027, -79.5279101790476 8.89376732695384, -79.5253717634227 8.89547539759477, -79.5210887892798 8.90664282314724))"
Gatun Anchorage,Anchorage,"POLYGON ((-79.8482628042384 9.18190171892438, -79.8485597919339 9.18692252570241, -79.8619582140715 9.18347830468432, -79.886405920208 9.2639500784049, -79.9075643087801 9.26226384917169, -79.9098896169559 9.26278806409743, -79.9122916449353 9.26342287726148, -79.9142056656805 9.27364326608484, -79.9146392344866 9.28238416465729, -79.9200464511263 9.28237569358132, -79.9232726514775 9.26461799107124, -79.9249472843764 9.26495950283612, -79.9275268711647 9.2632776033, -79.9272008182702 9.25993464336451, -79.9262420527255 9.25606983184009, -79.9261479672898 9.25055649338887, -79.9255630685742 9.24805864306253, -79.9313960637173 9.24188981613718, -79.9550375195649 9.19637999276891, -79.9405625065572 9.17327888042379, -79.9034205398408 9.16974092971666, -79.8616283888522 9.17942200299365, -79.8564434140763 9.18103923056774, -79.8517106345124 9.1817311476968, -79.8497883597785 9.18207864703137, -79.8482628042384 9.18190171892438))"
Atlantic Access,Manoeuvring,"POLYGON ((-79.9127411183649 9.28445030117731, -79.9129158687537 9.2887082113425, -79.9140847461235 9.29779384745711, -79.9163894632347 9.31052721166482, -79.9158885046409 9.32034305759107, -79.9158555941776 9.33173106547878, -79.9120501688789 9.3363878365985, -79.9148156552237 9.33921246567548, -79.9102545527479 9.3440899490318, -79.9099008524766 9.34559655042212, -79.9095221921133 9.34545603767351, -79.907734138748 9.34795820104395, -79.9064748920408 9.3485605524875, -79.9069014746765 9.34960840197646, -79.9111236067282 9.35114119024197, -79.9149849534465 9.35217606947196, -79.9161052568557 9.35594452449531, -79.9181052322504 9.356353523174, -79.9195341414316 9.35660942912199, -79.917782357445 9.37539927328371, -79.9177488947904 9.37942560669174, -79.9168972496754 9.38616870350857, -79.9163896615232 9.38882142441999, -79.9166173942292 9.38913543909676, -79.91608194469245 9.406011142252774, -79.92116830865633 9.406335428474756, -79.9208313798569 9.38956305300686, -79.9208674758376 9.38706872122061, -79.9217380509617 9.38225104312498, -79.9225206215296 9.37976024511988, -79.9272258543377 9.36430358650394, -79.9292298194935 9.35526306343475, -79.9288397981853 9.35177827092738, -79.9281793988965 9.34848557197389, -79.9207166202183 9.31945526962298, -79.9202696308223 9.31523707230398, -79.92019769258 9.31328232985785, -79.9223666182436 9.3093800550244, -79.9216128553959 9.30440002848879, -79.9212321700108 9.30135858811242, -79.9211370796551 9.2976696415578, -79.9220950302324 9.29115281783654, -79.9226209037555 9.28530265395621, -79.9226208039874 9.28406318112215, -79.9228984161013 9.28293794356329, -79.9210052474832 9.28252641735523, -79.9198915838239 9.28241339200627, -79.9156216520018 9.2823966289258, -79.9146853166044 9.28242411599128, -79.9125493738248 9.28270411458331, -79.9127411183649 9.28445030117731))"
Oil Tanking,Berth,"POLYGON ((-79.8890459357149 9.36963059916148, -79.888644301532 9.3687886869228, -79.8852548370189 9.37047856512148, -79.8848588614932 9.36989546185305, -79.8824625441799 9.37162273089017, -79.8832126949127 9.37271656945705, -79.8844087490055 9.37193557152932, -79.8884575190202 9.36987710132989, -79.8890459357149 9.36963059916148))"
Approach to MIT-Colon-CCT,Manoeuvring,"POLYGON ((-79.89444656369562 9.38464641885703, -79.89998047104716 9.38155199465852, -79.89785959508404 9.380608308799344, -79.89605839482583 9.37590825913905, -79.89501718956218 9.365824366846198, -79.89219683624655 9.363702292259148, -79.88916077746939 9.359141653077524, -79.8878694686075 9.35521911797339, -79.88416503379823 9.354015778902962, -79.8849496166247 9.356161177953776, -79.88741944454347 9.361857653013013, -79.88862266575381 9.36882031686991, -79.88903221259234 9.369677379400446, -79.89387667731711 9.378201895496483, -79.89149825441983 9.379398907933325, -79.89063991904865 9.377701790139378, -79.88737702437713 9.379376662118009, -79.88872819558392 9.387730661741555, -79.89444656369562 9.38464641885703))"
