StandardVesselType,ShiptypeLevel5
Miscellaneous-other,"Chemical Tank Barge, non propelled"
Miscellaneous-other,Submersible
Miscellaneous-other,Log Tipping Ship
Miscellaneous-other,Mooring Buoy
Miscellaneous-other,Underwater System
Miscellaneous-other,Weapons Trials Vessel
Miscellaneous-other,Trenching Support Vessel
Miscellaneous-other,"Diving Support Platform, semi submersible"
Miscellaneous-other,Kelp Dredger
Miscellaneous-other,"Crane Platform, jack up"
Miscellaneous-other,Car Park
Miscellaneous-other,Dock Gate
Miscellaneous-other,"Jacket Launching Pontoon, semi submersible"
Miscellaneous-other,"Deck Cargo Pontoon, semi submersible"
Miscellaneous-other,"Pipe layer Platform, semi submersible"
Miscellaneous-other,"Bitumen Tank Barge, non propelled"
Miscellaneous-other,Linkspan/Jetty
Miscellaneous-other,Production Testing Vessel
Miscellaneous-other,"Heavy Load Carrier, semi submersible"
Miscellaneous-other,Backhoe Dredger
Miscellaneous-other,Pipe Burying Vessel
Miscellaneous-other,Nuclear Fuel Carrier
Miscellaneous-other,"Production Platform, semi submersible"
Miscellaneous-other,Grab Dredger Pontoon
Miscellaneous-other,"Chemical/Products Tank Barge, non propelled"
Miscellaneous-other,Barge Carrier
Miscellaneous-other,"Drilling Rig, semi submersible"
Miscellaneous-other,"Power Station Pontoon, non propelled"
Miscellaneous-other,"Water Tank Barge, non propelled"
Miscellaneous-other,"Cement Storage Barge, non propelled"
Miscellaneous-other,"LPG Tank Barge, non propelled"
Miscellaneous-other,Pearl Shells Carrier
Miscellaneous-other,Heavy Load Carrier
Miscellaneous-other,Mining Vessel
Miscellaneous-other,Pile Driving Vessel
Miscellaneous-other,"Work/Maintenance Pontoon, non propelled"
Miscellaneous-other,Naval Small Craft
Miscellaneous-other,Stone Carrier
Miscellaneous-other,Water Injection Dredger
Miscellaneous-other,Bulk Cement Storage Ship
Miscellaneous-other,Trans Shipment Vessel
Miscellaneous-other,"Steam Supply Pontoon, non propelled"
Miscellaneous-other,"Grain Elevating Pontoon, non propelled"
Miscellaneous-other,Lightship
Miscellaneous-other,Articulated Pusher Tug
Miscellaneous-other,Suction Dredger Pontoon
Miscellaneous-other,Mission Ship
Miscellaneous-other,"Dredging Pontoon, unknown dredging type"
Miscellaneous-other,Theatre Vessel
Miscellaneous-other,"Dredging, Inland Waterways"
Miscellaneous-other,Bucket Hopper Dredger
Miscellaneous-other,Effluent carrier
Miscellaneous-other,"Hopper Barge, non propelled"
Miscellaneous-other,Trailing Suction Hopper Dredger
Miscellaneous-other,Bucket Dredger Pontoon
Miscellaneous-other,Icebreaker/Research
Miscellaneous-other,Suction Hopper Dredger
Miscellaneous-other,"Bulk Aggregates Barge, non propelled"
Miscellaneous-other,Sheerlegs Pontoon
Miscellaneous-other,Troopship
Miscellaneous-other,Sailing Vessel
Miscellaneous-other,Seal Catcher
Miscellaneous-other,Whale Catcher
Miscellaneous-other,"Fish Storage Barge, non propelled"
Miscellaneous-other,Pollution Control Vessel
Miscellaneous-other,"Crane Vessel, non propelled"
Miscellaneous-other,"Hopper, Motor"
Miscellaneous-other,Drilling Ship
Miscellaneous-other,Bulk Dry Storage Ship
Miscellaneous-other,Dredger (unspecified)
